album_order,sticker_code,collection_group,section,subset,country_code,country_name,sticker_number,sticker_title,player_name,sticker_type,variant,region,album_required,track_in_mvp,is_foil,source,source_url,notes
11,MEX2,main_album,team,main_checklist,MEX,Mexico,2,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
12,MEX3,main_album,team,main_checklist,MEX,Mexico,3,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
13,MEX4,main_album,team,main_checklist,MEX,Mexico,4,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
14,MEX5,main_album,team,main_checklist,MEX,Mexico,5,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
15,MEX6,main_album,team,main_checklist,MEX,Mexico,6,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
16,MEX7,main_album,team,main_checklist,MEX,Mexico,7,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
17,MEX8,main_album,team,main_checklist,MEX,Mexico,8,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
18,MEX9,main_album,team,main_checklist,MEX,Mexico,9,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
19,MEX10,main_album,team,main_checklist,MEX,Mexico,10,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
20,MEX11,main_album,team,main_checklist,MEX,Mexico,11,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
21,MEX12,main_album,team,main_checklist,MEX,Mexico,12,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
22,MEX13,main_album,team,main_checklist,MEX,Mexico,13,Team Photo,,team_photo,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
23,MEX14,main_album,team,main_checklist,MEX,Mexico,14,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
24,MEX15,main_album,team,main_checklist,MEX,Mexico,15,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
25,MEX16,main_album,team,main_checklist,MEX,Mexico,16,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
26,MEX17,main_album,team,main_checklist,MEX,Mexico,17,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
27,MEX18,main_album,team,main_checklist,MEX,Mexico,18,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
28,MEX19,main_album,team,main_checklist,MEX,Mexico,19,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
29,MEX20,main_album,team,main_checklist,MEX,Mexico,20,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
30,RSA1,main_album,team,main_checklist,RSA,South Africa,1,Team Logo,,team_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
31,RSA2,main_album,team,main_checklist,RSA,South Africa,2,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
32,RSA3,main_album,team,main_checklist,RSA,South Africa,3,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
33,RSA4,main_album,team,main_checklist,RSA,South Africa,4,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
34,RSA5,main_album,team,main_checklist,RSA,South Africa,5,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
35,RSA6,main_album,team,main_checklist,RSA,South Africa,6,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
36,RSA7,main_album,team,main_checklist,RSA,South Africa,7,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
37,RSA8,main_album,team,main_checklist,RSA,South Africa,8,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
38,RSA9,main_album,team,main_checklist,RSA,South Africa,9,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
39,RSA10,main_album,team,main_checklist,RSA,South Africa,10,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
40,RSA11,main_album,team,main_checklist,RSA,South Africa,11,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
41,RSA12,main_album,team,main_checklist,RSA,South Africa,12,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
42,RSA13,main_album,team,main_checklist,RSA,South Africa,13,Team Photo,,team_photo,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
43,RSA14,main_album,team,main_checklist,RSA,South Africa,14,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
44,RSA15,main_album,team,main_checklist,RSA,South Africa,15,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
45,RSA16,main_album,team,main_checklist,RSA,South Africa,16,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
46,RSA17,main_album,team,main_checklist,RSA,South Africa,17,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
47,RSA18,main_album,team,main_checklist,RSA,South Africa,18,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
48,RSA19,main_album,team,main_checklist,RSA,South Africa,19,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
49,RSA20,main_album,team,main_checklist,RSA,South Africa,20,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
50,KOR1,main_album,team,main_checklist,KOR,South Korea,1,Team Logo,,team_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
51,KOR2,main_album,team,main_checklist,KOR,South Korea,2,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
52,KOR3,main_album,team,main_checklist,KOR,South Korea,3,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
53,KOR4,main_album,team,main_checklist,KOR,South Korea,4,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
54,KOR5,main_album,team,main_checklist,KOR,South Korea,5,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
55,KOR6,main_album,team,main_checklist,KOR,South Korea,6,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
56,KOR7,main_album,team,main_checklist,KOR,South Korea,7,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
57,KOR8,main_album,team,main_checklist,KOR,South Korea,8,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
58,KOR9,main_album,team,main_checklist,KOR,South Korea,9,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
59,KOR10,main_album,team,main_checklist,KOR,South Korea,10,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
60,KOR11,main_album,team,main_checklist,KOR,South Korea,11,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
61,KOR12,main_album,team,main_checklist,KOR,South Korea,12,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
62,KOR13,main_album,team,main_checklist,KOR,South Korea,13,Team Photo,,team_photo,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
63,KOR14,main_album,team,main_checklist,KOR,South Korea,14,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
64,KOR15,main_album,team,main_checklist,KOR,South Korea,15,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
65,KOR16,main_album,team,main_checklist,KOR,South Korea,16,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
66,KOR17,main_album,team,main_checklist,KOR,South Korea,17,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
67,KOR18,main_album,team,main_checklist,KOR,South Korea,18,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
68,KOR19,main_album,team,main_checklist,KOR,South Korea,19,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
69,KOR20,main_album,team,main_checklist,KOR,South Korea,20,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
70,CZE1,main_album,team,main_checklist,CZE,Czechia,1,Team Logo,,team_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
71,CZE2,main_album,team,main_checklist,CZE,Czechia,2,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
72,CZE3,main_album,team,main_checklist,CZE,Czechia,3,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
73,CZE4,main_album,team,main_checklist,CZE,Czechia,4,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
74,CZE5,main_album,team,main_checklist,CZE,Czechia,5,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
75,CZE6,main_album,team,main_checklist,CZE,Czechia,6,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
76,CZE7,main_album,team,main_checklist,CZE,Czechia,7,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
77,CZE8,main_album,team,main_checklist,CZE,Czechia,8,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
78,CZE9,main_album,team,main_checklist,CZE,Czechia,9,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
79,CZE10,main_album,team,main_checklist,CZE,Czechia,10,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
80,CZE11,main_album,team,main_checklist,CZE,Czechia,11,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
81,CZE12,main_album,team,main_checklist,CZE,Czechia,12,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
82,CZE13,main_album,team,main_checklist,CZE,Czechia,13,Team Photo,,team_photo,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
83,CZE14,main_album,team,main_checklist,CZE,Czechia,14,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
84,CZE15,main_album,team,main_checklist,CZE,Czechia,15,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
85,CZE16,main_album,team,main_checklist,CZE,Czechia,16,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
86,CZE17,main_album,team,main_checklist,CZE,Czechia,17,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
87,CZE18,main_album,team,main_checklist,CZE,Czechia,18,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
88,CZE19,main_album,team,main_checklist,CZE,Czechia,19,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
89,CZE20,main_album,team,main_checklist,CZE,Czechia,20,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
90,CAN1,main_album,team,main_checklist,CAN,Canada,1,Team Logo,,team_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
91,CAN2,main_album,team,main_checklist,CAN,Canada,2,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
92,CAN3,main_album,team,main_checklist,CAN,Canada,3,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
93,CAN4,main_album,team,main_checklist,CAN,Canada,4,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
94,CAN5,main_album,team,main_checklist,CAN,Canada,5,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
95,CAN6,main_album,team,main_checklist,CAN,Canada,6,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
96,CAN7,main_album,team,main_checklist,CAN,Canada,7,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
97,CAN8,main_album,team,main_checklist,CAN,Canada,8,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
98,CAN9,main_album,team,main_checklist,CAN,Canada,9,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
99,CAN10,main_album,team,main_checklist,CAN,Canada,10,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
100,CAN11,main_album,team,main_checklist,CAN,Canada,11,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
101,CAN12,main_album,team,main_checklist,CAN,Canada,12,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
102,CAN13,main_album,team,main_checklist,CAN,Canada,13,Team Photo,,team_photo,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
103,CAN14,main_album,team,main_checklist,CAN,Canada,14,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
104,CAN15,main_album,team,main_checklist,CAN,Canada,15,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
105,CAN16,main_album,team,main_checklist,CAN,Canada,16,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
106,CAN17,main_album,team,main_checklist,CAN,Canada,17,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
107,CAN18,main_album,team,main_checklist,CAN,Canada,18,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
108,CAN19,main_album,team,main_checklist,CAN,Canada,19,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
109,CAN20,main_album,team,main_checklist,CAN,Canada,20,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
110,BIH1,main_album,team,main_checklist,BIH,Bosnia and Herzegovina,1,Team Logo,,team_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
111,BIH2,main_album,team,main_checklist,BIH,Bosnia and Herzegovina,2,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
112,BIH3,main_album,team,main_checklist,BIH,Bosnia and Herzegovina,3,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
113,BIH4,main_album,team,main_checklist,BIH,Bosnia and Herzegovina,4,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
114,BIH5,main_album,team,main_checklist,BIH,Bosnia and Herzegovina,5,Player sticker,Player sticker,player,standard,global,TRUE,TRUE,False,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
